recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic
910,868.76,46.47,2.68,23.05,Lunch/Snacks,1.0,1
911,74.73,2.99,1.18,0.22,Potato,6.0,1
912,288.55,21.48,4.55,10.8,Dessert,6.0,1
913,109.21,7.37,15.64,0.5,Beverages,1.0,0
914,1089.14,5.14,7.51,47.4,Chicken,6.0,0
915,231.35,60.56,0.01,5.16,Potato,6.0,1
916,124.67,22.33,0.61,1.31,Potato,4.0,1
917,64.27,0.16,21.965000000000003,0.74,Beverages,2.0,0
918,367.92,45.8,0.93,4.61,Breakfast,2.0,0
919,288.55,21.48,4.55,10.8,Pork,6.0,1
920,1148.55,10.37,5.7,30.83,Meat,6.0,1
921,375.32,99.85000000000001,16.43,4.76,Chicken,4.0,1
922,239.23,32.87,3.37,40.62,Breakfast,4.0,0
923,27.65,31.14,3.6,8.66,Potato,4.0,1
924,324.12,28.42,7.79,12.47,Meat,2.0,1
925,199.2,0.69,4.11,0.12,Beverages,4.0,0
926,1328.48,29.07,0.35,2.32,Chicken,4.0,0
927,269.24,30.22,13.63,36.72,Meat,2.0,1
928,253.14,19.23,11.22,2.35,One Dish Meal,2.0,1
929,5.87,47.91,21.965000000000003,24.72,Meat,4.0,1
930,350.88,1.34,0.54,0.06,Beverages,4.0,0
931,607.52,34.88,5.49,9.79,Lunch/Snacks,4.0,1
932,110.17,65.7,21.965000000000003,5.92,Dessert,1.0,1
933,1017.32,85.12,1.71,1.85,Potato,1.0,0
934,47.74,5.33,0.87,17.42,Chicken,4.0,1
935,113.62,7.12,5.27,13.4,Vegetable,4.0,1
936,262.29,60.13,21.965000000000003,5.07,Dessert,4.0,1
937,164.86,1.62,7.57,48.35,Pork,4.0,1
938,126.31,45.48,6.26,10.44,Dessert,1.0,1
939,288.55,21.48,4.55,10.8,Pork,4.0,1
940,1328.48,34.34,5.12,17.57,Chicken,6.0,0
941,1328.48,49.91,0.76,57.9,Chicken,4.0,0
942,186.21,83.94,1.98,22.4,Chicken,4.0,1
943,1161.0,5.31,21.965000000000003,44.22,Lunch/Snacks,2.0,0
944,288.55,21.48,4.55,10.8,Potato,2.0,1
945,951.74,29.42,3.57,13.87,Pork,2.0,1
946,266.61,35.77,0.97,8.07,Potato,6.0,1
947,184.56,45.21,6.2,0.03,Beverages,4.0,0
